model_name,num_questions,estimated_difficulty,semantic_accuracy,exact_match,f1,precision,recall,rouge_l,bleu,bertscore,semantic_similarity,accuracy,invalid_rate,judge_answer_relevance,judge_faithfulness,judge_factual_accuracy,judge_logical_coherence,judge_completeness
deepseek-v4,3,7,0.6666666666666666,0.0,0.4910539277508473,0.4335919540229885,0.5939492517891997,0.3234843402179261,0.1617761285442391,0.906684140364329,0.8512744903564453,,,5.0,4.666666666666667,5.0,5.0,5.0
deepseek-v4,4,8,0.0,0.0,0.3430067601348456,0.30901793038790576,0.5380362688689129,0.1469709919203504,0.023893943494305032,0.8526851236820221,0.7123737037181854,,,5.0,5.0,5.0,5.0,4.5
deepseek-v4,4,3,0.0,0.0,0.4344305120167189,0.5653310104529616,0.3673913043478261,0.34314550042052144,0.14668653186057382,0.9024088084697723,0.7567360401153564,1.0,0.0,5.0,5.0,5.0,5.0,5.0
deepseek-v4,4,5,0.0,0.0,0.33295764970465425,0.25875843454790826,0.667615596963423,0.18499218533007564,0.05899080783659065,0.8684539645910263,0.7772071063518524,,,5.0,2.0,3.0,4.0,4.0
deepseek-v4,9,2,0.0,0.0,0.38297872340425526,0.2608695652173913,0.72,0.1894736842105263,0.00985546391537328,0.8717398643493652,0.719680666923523,1.0,0.0,5.0,5.0,5.0,5.0,5.0
deepseek-v4,5,6,0.0,0.0,0.34483363545991463,0.2716723549488055,0.6308139534883721,0.21553156146179397,0.03003839528158379,0.8730632066726685,0.7620038092136383,1.0,0.0,,,,,
deepseek-v4,3,4,1.0,0.0,0.5754716981132075,0.41496598639455784,0.9384615384615385,0.2985074626865672,0.08824302370107419,0.8925831913948059,0.8575406074523926,1.0,0.0,5.0,5.0,5.0,5.0,5.0
deepseek-v4,3,9,0.0,0.0,0.24063116370808682,0.1513647642679901,0.5865384615384616,0.0944558521560575,0.0035824580787159285,0.8360148668289185,0.7564096450805664,1.0,0.0,5.0,5.0,5.0,5.0,5.0
