model_name,num_questions,question_mode,semantic_accuracy,exact_match,f1,precision,recall,rouge_l,bleu,bertscore,semantic_similarity,accuracy,invalid_rate,judge_answer_relevance,judge_faithfulness,judge_factual_accuracy,judge_logical_coherence,judge_completeness
deepseek-v4,18,qa,0.16666666666666666,0.0,0.3852571834882977,0.33739379824976085,0.6025480963538521,0.22211649180407023,0.07066656616309881,0.8753272626135085,0.7712920738591088,,,5.0,4.6,4.8,4.9,4.8
deepseek-v4,17,multiple_choice,,,,,,,,,,1.0,0.0,,,,,
