2026-06-16 20:29:31.000 | INFO     | Starting case generation: task=case run=d_full_case_20260616_202930
2026-06-16 20:29:31.407 | INFO     | Preparing evidence for 2 topics (parallel)
2026-06-16 20:30:25.146 | WARNING  | Failed to summarize chunk doc_53bf4489cf6c::chunk_0000: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 02178161302532256e64c7828ecc48447252d659c7ba9909a6ac5', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:25.174 | WARNING  | Failed to summarize chunk doc_53bf4489cf6c::chunk_0001: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 02178161302545156e64c7828ecc48447252d659c7ba990c7387e', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:25.200 | WARNING  | Failed to summarize chunk doc_53bf4489cf6c::chunk_0002: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 02178161302548156e64c7828ecc48447252d659c7ba990f700aa', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:25.231 | WARNING  | Failed to combine summaries: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 02178161302550756e64c7828ecc48447252d659c7ba99053c340', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:25.802 | INFO     | Saved JSON to runs\case\d_full_case_20260616_202930\evidence\chunked.json
2026-06-16 20:30:25.814 | INFO     | Saved JSON to runs\case\d_full_case_20260616_202930\evidence\single_units.json
2026-06-16 20:30:25.817 | INFO     | Saved JSON to runs\case\d_full_case_20260616_202930\evidence\multi_units.json
2026-06-16 20:30:25.817 | INFO     | Starting mode: qa
2026-06-16 20:30:25.854 | ERROR    | Generator LLM call failed: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 02178161302613256e64c7828ecc48447252d659c7ba99075ffa1', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:25.855 | WARNING  | Topic Artificial Intelligence [single] failed in round 1: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 02178161302613256e64c7828ecc48447252d659c7ba99075ffa1', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:26.105 | ERROR    | Generator LLM call failed: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 0217816130263805b348a82794b5725a30214ab58731f43822464', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:26.106 | WARNING  | Topic Quantum Computing [single] failed in round 1: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 0217816130263805b348a82794b5725a30214ab58731f43822464', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:26.108 | INFO     | Mode=qa round=1 strategy=initial_breadth generated=0 accepted=0 total_accepted=0
2026-06-16 20:30:26.146 | ERROR    | Generator LLM call failed: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 02178161302642456e64c7828ecc48447252d659c7ba990462254', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:26.148 | WARNING  | Topic Artificial Intelligence [single] failed in round 2: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 02178161302642456e64c7828ecc48447252d659c7ba990462254', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:26.150 | ERROR    | Generator LLM call failed: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 0217816130264255b348a82794b5725a30214ab58731f43ed2176', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:26.152 | WARNING  | Topic Quantum Computing [single] failed in round 2: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 0217816130264255b348a82794b5725a30214ab58731f43ed2176', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:26.164 | INFO     | Mode=qa round=2 strategy=hard_generate generated=0 accepted=0 total_accepted=0
2026-06-16 20:30:26.164 | INFO     | Mode qa stopped: mode_failure_limit_reached
2026-06-16 20:30:26.171 | INFO     | Mode qa complete: 0 accepted, stopped_reason=mode_failure_limit_reached
2026-06-16 20:30:26.171 | INFO     | Starting mode: multiple_choice
2026-06-16 20:30:26.220 | ERROR    | Generator LLM call failed: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 0217816130264975b348a82794b5725a30214ab58731f4346d4dd', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:26.221 | WARNING  | Topic Quantum Computing [multi] failed in round 1: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 0217816130264975b348a82794b5725a30214ab58731f4346d4dd', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:26.223 | ERROR    | Generator LLM call failed: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 02178161302649556e64c7828ecc48447252d659c7ba990c69064', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:26.225 | WARNING  | Topic Artificial Intelligence [multi] failed in round 1: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 02178161302649556e64c7828ecc48447252d659c7ba990c69064', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:26.227 | INFO     | Mode=multiple_choice round=1 strategy=initial_breadth generated=0 accepted=0 total_accepted=0
2026-06-16 20:30:26.263 | ERROR    | Generator LLM call failed: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 0217816130265385b348a82794b5725a30214ab58731f433cfae5', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:26.265 | WARNING  | Topic Quantum Computing [multi] failed in round 2: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 0217816130265385b348a82794b5725a30214ab58731f433cfae5', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:26.266 | ERROR    | Generator LLM call failed: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 02178161302653756e64c7828ecc48447252d659c7ba990e601e8', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:26.268 | WARNING  | Topic Artificial Intelligence [multi] failed in round 2: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint deepseek-v3-250324 does not exist or you do not have access to it. Request id: 02178161302653756e64c7828ecc48447252d659c7ba990e601e8', 'param': '', 'type': 'Not Found'}}
2026-06-16 20:30:26.269 | INFO     | Mode=multiple_choice round=2 strategy=hard_generate generated=0 accepted=0 total_accepted=0
2026-06-16 20:30:26.269 | INFO     | Mode multiple_choice stopped: mode_failure_limit_reached
2026-06-16 20:30:26.276 | INFO     | Mode multiple_choice complete: 0 accepted, stopped_reason=mode_failure_limit_reached
2026-06-16 20:30:26.282 | INFO     | Generation complete. Output: runs/case/d_full_case_20260616_202930/
2026-06-16 20:30:26.338 | INFO     | Starting verification for d:\Download\vscode\code\master\benchforge\runs\case\d_full_case_20260616_202930\shared_state.json
2026-06-16 20:30:26.363 | INFO     | Built chunk index with 60 entries from runs\case\d_full_case_20260616_202930\evidence\chunked.json
2026-06-16 20:30:26.364 | INFO     | Loaded 0 raw candidates from runs\case\d_full_case_20260616_202930\qa\candidate_pool.json
2026-06-16 20:30:26.364 | INFO     | Loaded 0 raw candidates from runs\case\d_full_case_20260616_202930\multiple_choice\candidate_pool.json
2026-06-16 20:30:26.365 | INFO     | Normalized 0 candidates total
